Lugar;IDHM (1991);IDHM (2000);IDHM (2010);Renda per capita (1991);Renda per capita (2000);Renda per capita (2010)
AC;0.402;0.517;0.663;284.96;360.63;522.15
AL;0.37;0.471;0.631;211.98;285.29;432.56
AM;0.43;0.515;0.674;345.82;351.63;539.8
AP;0.472;0.577;0.708;378.57;424.57;598.98
BA;0.386;0.512;0.66;234.57;322.04;496.73
CE;0.405;0.541;0.682;219.83;310.21;460.63
DF;0.616;0.725;0.824;916;1199.44;1715.11
ES;0.505;0.64;0.74;377.38;574.17;815.43
GO;0.487;0.615;0.735;410.55;571.49;810.97
MA;0.357;0.476;0.639;156.47;218.27;360.34
MG;0.478;0.624;0.731;373.85;548.87;749.69
MS;0.488;0.613;0.729;433.21;576.33;799.34
MT;0.449;0.601;0.725;395.34;582.62;762.52
PA;0.413;0.518;0.646;273.22;335.76;446.76
PB;0.382;0.506;0.658;196.59;299.09;474.94
PE;0.44;0.544;0.673;275.49;367.31;525.64
PI;0.362;0.484;0.646;167.03;254.78;416.93
PR;0.507;0.65;0.749;439.09;638.27;890.89
RJ;0.573;0.664;0.761;608.8;826.04;1039.3
RN;0.428;0.552;0.684;240.33;351.01;545.42
RO;0.407;0.537;0.69;304.9;467.16;670.82
RR;0.459;0.598;0.707;437.24;462.18;605.59
RS;0.542;0.664;0.746;507.61;708.12;959.24
SC;0.543;0.674;0.774;449.78;693.82;983.9
SE;0.408;0.518;0.665;247.78;326.67;523.53
SP;0.578;0.702;0.783;746.22;882.4;1084.46
TO;0.369;0.525;0.699;243.58;344.41;586.62
